epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.3527,1.15352,2.59552,1.22117,0.83011,0.54023,0.79193,0.55263,1.02494,2.80691,0.96376,0.000651852,0.000651852,0.000651852
2,123.268,1.10118,2.13114,1.1357,0.39125,0.54598,0.4458,0.2838,1.15025,2.95349,1.16281,0.00126631,0.00126631,0.00126631
3,198.23,1.14293,1.93755,1.15997,0.56751,0.58046,0.53567,0.29756,1.31368,3.27705,1.35603,0.00182796,0.00182796,0.00182796
4,287.383,1.09351,1.6655,1.11303,0.57531,0.6092,0.55467,0.40278,0.95042,3.56597,1.06055,0.0017624,0.0017624,0.0017624
5,380.559,1.06944,1.44938,1.12416,0.81716,0.66784,0.64794,0.46133,1.08356,1.20247,1.02744,0.0016832,0.0016832,0.0016832
6,495.69,1.02055,1.40322,1.10463,0.81791,0.61955,0.64912,0.48108,0.88718,1.51755,0.93267,0.001604,0.001604,0.001604
7,591.794,1.0064,1.32948,1.07832,0.83893,0.41908,0.40134,0.28612,0.99884,0.9648,0.97628,0.0015248,0.0015248,0.0015248
8,692.004,0.98808,1.26787,1.07947,0.74211,0.31609,0.30805,0.21658,0.92241,0.91901,0.90918,0.0014456,0.0014456,0.0014456
9,799.748,0.93903,1.17242,1.03934,0.81196,0.26437,0.24765,0.18197,0.86648,0.82262,0.88846,0.0013664,0.0013664,0.0013664
10,904.38,0.88776,1.06625,1.03959,0.68544,0.44253,0.42286,0.29982,0.95196,0.95299,0.89728,0.0012872,0.0012872,0.0012872
11,1014.15,0.93891,1.04612,1.03841,0.81661,0.64943,0.64364,0.46355,0.91862,0.8363,0.86831,0.001208,0.001208,0.001208
12,1120.47,0.89132,1.00353,1.02843,0.84302,0.33333,0.34076,0.25811,0.8717,0.68002,0.8753,0.0011288,0.0011288,0.0011288
13,1226.78,0.85121,0.93827,1.01172,0.89158,0.63793,0.64954,0.49537,0.88595,0.76952,0.87298,0.0010496,0.0010496,0.0010496
14,1318.31,0.82615,0.92088,1.00822,0.92226,0.95452,0.95683,0.73529,0.81864,0.64392,0.85174,0.0009704,0.0009704,0.0009704
15,1406.52,0.82622,0.94048,1.00634,0.89254,0.96552,0.94602,0.72723,0.83802,0.67639,0.86459,0.0008912,0.0008912,0.0008912
16,1491.62,0.83678,0.97612,1.02034,0.86314,0.94242,0.94754,0.75256,0.78619,0.66218,0.81205,0.000812,0.000812,0.000812
17,1568.76,0.82012,0.98041,1.02465,0.87446,0.91954,0.94845,0.74892,0.81015,0.63719,0.80683,0.0007328,0.0007328,0.0007328
18,1658.32,0.81221,0.89976,1.03963,0.90951,0.95402,0.95954,0.74693,0.82942,0.63754,0.82859,0.0006536,0.0006536,0.0006536
19,1744.36,0.75153,0.89329,1.01633,0.90779,0.96187,0.95789,0.7583,0.78249,0.59776,0.80653,0.0005744,0.0005744,0.0005744
20,1834.76,0.74752,0.82258,1.02742,0.94456,0.96552,0.9665,0.77616,0.76071,0.60729,0.81196,0.0004952,0.0004952,0.0004952
21,1921.6,0.74061,0.87484,1.00896,0.90667,0.94828,0.95043,0.75978,0.79203,0.61297,0.80711,0.000416,0.000416,0.000416
22,2008.05,0.70994,0.82417,0.99612,0.91859,0.95977,0.95436,0.77289,0.75513,0.53804,0.79477,0.0003368,0.0003368,0.0003368
23,2088.71,0.76714,0.80117,1.00288,0.91734,0.95402,0.9578,0.78351,0.75439,0.59029,0.81225,0.0002576,0.0002576,0.0002576
24,2173.81,0.70368,0.75038,0.98148,0.92817,0.95977,0.95941,0.77747,0.76109,0.5379,0.80272,0.0001784,0.0001784,0.0001784
25,2260.99,0.71071,0.89248,0.97309,0.91862,0.97307,0.95883,0.78068,0.74921,0.53232,0.79031,9.92e-05,9.92e-05,9.92e-05
