epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9457,1.07197,1.97113,1.13038,0.53859,0.64943,0.55444,0.36107,1.18795,2.36083,1.18592,0.000651852,0.000651852,0.000651852
2,26.6963,1.1995,1.56856,1.19326,0.50997,0.57471,0.53742,0.29055,1.45724,5.6869,1.81432,0.00126631,0.00126631,0.00126631
3,38.0376,1.21441,1.42458,1.18085,0.16238,0.31609,0.15767,0.05258,2.20672,13.3913,3.58236,0.00182796,0.00182796,0.00182796
4,49.6918,1.23944,1.36531,1.20135,0.49247,0.92529,0.70788,0.4521,1.20383,6.6092,1.3742,0.0017624,0.0017624,0.0017624
5,61.1707,1.12584,1.26202,1.14241,0.62642,0.7931,0.73641,0.44194,1.09304,2.85714,1.00169,0.0016832,0.0016832,0.0016832
6,72.0383,1.0829,1.15409,1.1011,0.79876,0.7984,0.88274,0.56546,1.10574,1.42166,1.1505,0.001604,0.001604,0.001604
7,83.1292,1.07524,1.20915,1.10426,0.81886,0.81609,0.86996,0.59952,1.06133,1.03396,1.07338,0.0015248,0.0015248,0.0015248
8,94.2521,1.07445,1.21932,1.09014,0.48899,0.72989,0.49995,0.2721,1.27154,2.33951,1.10847,0.0014456,0.0014456,0.0014456
9,105.141,1.04861,1.10882,1.06582,0.77666,0.78736,0.81938,0.55653,1.07573,1.04175,0.95744,0.0013664,0.0013664,0.0013664
10,116.198,1.0808,1.13715,1.06765,0.85085,0.81965,0.9014,0.61587,1.03928,0.85924,0.96206,0.0012872,0.0012872,0.0012872
11,127.545,0.94781,1.01833,1.0395,0.91227,0.83665,0.93055,0.72266,0.83512,0.7062,0.80837,0.001208,0.001208,0.001208
12,138.619,0.88361,0.94509,1.01074,0.90971,0.95402,0.95911,0.71998,0.8438,0.65763,0.82718,0.0011288,0.0011288,0.0011288
13,150.344,0.899,1.02133,1.05925,0.88339,0.94828,0.95621,0.73207,0.81264,0.59834,0.77999,0.0010496,0.0010496,0.0010496
14,161.732,0.87018,0.96967,1.01357,0.84908,0.93765,0.94458,0.73618,0.8334,0.67472,0.83313,0.0009704,0.0009704,0.0009704
15,172.798,0.90054,0.94852,1.01289,0.86214,0.92529,0.94062,0.71234,0.84177,0.67411,0.7766,0.0008912,0.0008912,0.0008912
16,209.059,0.82862,0.9424,1.02839,0.88662,0.93678,0.96022,0.7617,0.79871,0.63844,0.79633,0.000812,0.000812,0.000812
17,221.591,0.83745,0.86525,1.03354,0.87952,0.94828,0.94981,0.73831,0.89775,0.59585,0.81673,0.0007328,0.0007328,0.0007328
18,235.011,0.94072,0.96209,1.07255,0.93807,0.91954,0.96096,0.70972,0.95325,0.69955,0.83134,0.0006536,0.0006536,0.0006536
19,246.622,0.81193,0.81095,1.01724,0.84922,0.97126,0.95094,0.75729,0.78425,0.62579,0.73716,0.0005744,0.0005744,0.0005744
20,257.729,0.81413,0.82929,1.00994,0.89718,0.95283,0.95468,0.76268,0.76796,0.65301,0.75504,0.0004952,0.0004952,0.0004952
21,269.433,0.7619,0.82952,0.97242,0.90751,0.96552,0.96255,0.75723,0.72464,0.59202,0.74295,0.000416,0.000416,0.000416
22,280.874,0.75871,0.79654,0.98971,0.88577,0.95402,0.95391,0.76484,0.74548,0.58485,0.73126,0.0003368,0.0003368,0.0003368
23,292.332,0.79359,0.77285,1.01466,0.92044,0.93085,0.95427,0.76173,0.73562,0.56635,0.716,0.0002576,0.0002576,0.0002576
24,303.482,0.69841,0.8814,0.98649,0.92114,0.93985,0.95168,0.76519,0.73426,0.54645,0.72888,0.0001784,0.0001784,0.0001784
25,315.023,0.65487,0.71693,0.96188,0.92003,0.94253,0.95581,0.77949,0.71971,0.56156,0.71446,9.92e-05,9.92e-05,9.92e-05
